,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
pSA_0.021461411979,-0.04571910166516129,0.2512677248057838,0.4522385675166952,0.2845084839354893,0.34436264461964944,0.43458847136264156,0.7700114088970238
pSA_0.022219468609,-0.04769145763759436,0.2525840977187675,0.45214235748439674,0.2845222176887463,0.3462860687964645,0.43417805898722694,0.770590833152391
pSA_0.023004301198,-0.049871978384760395,0.2534015477386176,0.4521439570332165,0.28462105971259516,0.3474750356753848,0.4339504513672487,0.77103514846797
pSA_0.023816855520,-0.05192273471417609,0.2553629740353702,0.4518819696003442,0.28514609585089706,0.35031600020416453,0.4339338566305454,0.7723506343353376
pSA_0.024658110758,-0.053940229538450866,0.25723855505414944,0.4512027779607205,0.2866074064814699,0.3529984781859386,0.4335220833479076,0.7734837261645551
pSA_0.025529080682,-0.055618577193578496,0.2587193477420531,0.45070262053278254,0.2884621934615501,0.3550847750840846,0.4331585476371192,0.7746320507824211
pSA_0.026430814870,-0.05677408389760446,0.2588480571539451,0.4493151432007964,0.28946016131886554,0.35525148355263336,0.43295187782923894,0.7741590456634263
pSA_0.027364399971,-0.059594677283525604,0.2611181834921333,0.4485085969189048,0.29041194495359457,0.35853439997315295,0.4319459836999402,0.7749989084382714
pSA_0.028330961018,-0.0634510151202749,0.2635998550867316,0.44817055322687543,0.2918334126173046,0.36209209403955667,0.43180126750397746,0.7769083631185458
pSA_0.029331662784,-0.06658538220826661,0.2644678746959516,0.44750389469818797,0.2922460971566627,0.3633485653155442,0.4316887282225695,0.7772032263601536
pSA_0.030367711180,-0.07156596174837622,0.2657906048521376,0.44688372871136933,0.2905113990184595,0.3653599795085781,0.43117155679525787,0.7768518301210304
pSA_0.031440354716,-0.07616517269843423,0.2667501202877175,0.44661215224943007,0.28951014064668074,0.3668035996425863,0.430931673662753,0.7768690521256907
pSA_0.032550885998,-0.08177902428734,0.2683200062834186,0.4456974549141272,0.2905661249997581,0.3690603337610522,0.4298895180907995,0.7772293239671703
pSA_0.033700643293,-0.08851877412060281,0.2696713225133185,0.4466745172685819,0.29240621753116447,0.37093158152739286,0.4300447557286783,0.779453815522225
pSA_0.034891012134,-0.09663844363243985,0.2726843942961632,0.44719387631497376,0.29585245472924726,0.3751641225574546,0.4287008657851615,0.7823321475960101
pSA_0.036123426997,-0.10509170212630634,0.27618341203679303,0.4477043665591208,0.2986913970188291,0.3801277418372044,0.4273451891486695,0.7853513616795528
pSA_0.037399373025,-0.11353087267611124,0.2787769198084554,0.4486205007947448,0.30154316000136605,0.3837602754555094,0.42771261610600464,0.7889224689859379
pSA_0.038720387818,-0.1209453148507336,0.2794036769800964,0.448904567617268,0.3025658069753114,0.3846322209797843,0.4258120651536065,0.7888721307185903
pSA_0.040088063289,-0.12880797555023177,0.282569352286658,0.44805074294032005,0.30514128362875803,0.3891429101532458,0.42383586613518326,0.7905249630271501
pSA_0.041504047579,-0.13792538026561005,0.2874020533147432,0.44750616737889415,0.30631004641874016,0.3961217459266479,0.4227095282052148,0.7935259272453853
pSA_0.042970047043,-0.14797138795476833,0.2909576893587378,0.4471711528175172,0.306733641763185,0.4012716031145157,0.42153980348024417,0.7954635581129469
pSA_0.044487828311,-0.1603820122139202,0.29345022150931865,0.4457858081380509,0.3063769955580046,0.40491543319530376,0.4222792193536466,0.7967861051010555
pSA_0.046059220411,-0.17048689013621127,0.2951584610273725,0.4457863760839899,0.3070709219571597,0.4073590125794093,0.42316363816956093,0.7987658442949893
pSA_0.047686116977,-0.180461021230152,0.30077738215112476,0.44513405948587054,0.30951507526680017,0.41541138133741695,0.4225267102294168,0.8031434176619627
pSA_0.049370478528,-0.19051154574364962,0.309043869845424,0.44426556221527785,0.312484451567882,0.4272727302363786,0.4216186957641422,0.8095324161907553
pSA_0.051114334834,-0.1993934299782911,0.3118205809957818,0.444607358831834,0.3144694058381377,0.4312127740151621,0.4201518644541303,0.811812020367858
pSA_0.052919787360,-0.21007139032248814,0.3135942031607796,0.4462358557671113,0.31753353962900943,0.433644356430581,0.4183592544911758,0.8142640121263122
pSA_0.054789011796,-0.22249128556613496,0.3161425407070527,0.44552324685726863,0.31914165130608285,0.4372775679309987,0.4178750658112633,0.8161945841103291
pSA_0.056724260685,-0.23420620711186796,0.32010220501466696,0.4450709205022219,0.3186273875301862,0.44302024001364965,0.4194614400064256,0.8196501504148112
pSA_0.058727866132,-0.24467544641631428,0.32668770660742746,0.4424653116282884,0.32038301115113127,0.45249006791652574,0.4214068860607804,0.8250768758189323
pSA_0.060802242616,-0.2535381054189683,0.33313627969374493,0.4404256233866548,0.31763683494170614,0.4619200744572769,0.4221920387175759,0.828543397409229
pSA_0.062949889902,-0.2609445511815311,0.34023401560373207,0.43888910849179197,0.31534314959999155,0.47224804622752786,0.4235808186884511,0.8333689931110099
pSA_0.065173396049,-0.26864427327649226,0.3396185815606813,0.4383257995213002,0.31195307508697967,0.4714932519642034,0.4223569610479045,0.8307439538002132
pSA_0.067475440531,-0.272479307833546,0.3384241002639179,0.43709984750827474,0.3140045889037037,0.4697146853692411,0.4220446183949705,0.829703985835926
pSA_0.069858797468,-0.2754851830894613,0.3416865463721238,0.43888053324393717,0.32590254061763374,0.47396346414841845,0.42233556663262667,0.837757294585957
pSA_0.072326338965,-0.2843350180490984,0.3448770751925556,0.440574315429126,0.3366491936642492,0.4781488048429848,0.4214541828052317,0.844800754490331
pSA_0.074881038576,-0.29537971015743564,0.34403867717038844,0.44523143508567387,0.33960414912970416,0.4767751371895592,0.4210019242501759,0.847419117414183
pSA_0.077525974886,-0.2943578855561132,0.33662025305886784,0.44673259065289467,0.34356441748123784,0.46589735418260453,0.4195580861919291,0.8430277865136204
pSA_0.080264335223,-0.2913538887446107,0.33362410674718573,0.44446383907232073,0.34710433065887586,0.46143840379199375,0.4233051768999285,0.8426993496434152
pSA_0.083099419494,-0.2896291453384405,0.33011449219380656,0.4446415238890104,0.3530023401021704,0.45610429740370667,0.42693785013939833,0.8441704773774845
