,bias,bias_std_err,tau,phi_S2S,phi_C2C,phi_w,sigma
pSA_0.022219468609,0.25376749314802316,0.26727380518958893,0.4542024939879925,0.3480716173984361,0.3646855760175135,0.43731558213913335,0.8072758166328224
pSA_0.023004301198,0.25185666394053197,0.267660394624248,0.45442835268027637,0.3479761480448439,0.36525544510019414,0.43693261091993707,0.8074120224448549
pSA_0.023816855520,0.24991219288729885,0.26888852582035405,0.4544182529717818,0.348180248914974,0.36704709327952517,0.43646027279382305,0.8080510954021574
pSA_0.024658110758,0.2487943871899933,0.26997655460802067,0.4536879092216398,0.34873387536325356,0.36862662075781805,0.4359526437296268,0.808324395218872
pSA_0.025529080682,0.2478844453414476,0.2702224219764763,0.45350248429345563,0.34955362901616355,0.36895097655106407,0.4353953116996977,0.808422008215243
pSA_0.026430814870,0.24710731035934616,0.26913657474987646,0.4521926844449657,0.3496435311791325,0.3673772696656291,0.435132568151776,0.8068675435871056
pSA_0.027364399971,0.24419783797532502,0.27007309606197927,0.45154490036043726,0.349227807851191,0.36878578403186574,0.43399008143662027,0.806351786819765
pSA_0.028330961018,0.24011213453561026,0.27116746793650365,0.45115731883984417,0.34912872350415214,0.37039880591310526,0.4340474915605326,0.8068620032386209
pSA_0.029331662784,0.23693114204046709,0.2706744555540425,0.4505273646700932,0.34884636202394237,0.36970139890374076,0.4339245114546247,0.8060014246925598
pSA_0.030367711180,0.23256799757621563,0.27024983485482035,0.4498200465812654,0.34751652446648906,0.3691612327881181,0.43315657037084937,0.8043695912531249
pSA_0.031440354716,0.22916393469718707,0.26948091368719584,0.4492679518009175,0.3457654295557418,0.36813437506722707,0.43265905746736816,0.8025660115566491
pSA_0.032550885998,0.22528932255185244,0.2693782816055304,0.44858889520654166,0.34436600403419243,0.36806908653079873,0.43174553102385493,0.8010611697341159
pSA_0.033700643293,0.22003249910521627,0.26909295322703475,0.44963956194634147,0.3441253192072577,0.36764756035930846,0.43173724353090664,0.8013487050445715
pSA_0.034891012134,0.21288233400728518,0.2706315760762952,0.4505752441681624,0.3450861295883003,0.3698438251624033,0.4304142379777169,0.80258542146997
pSA_0.036123426997,0.20557642251421399,0.27179241418476124,0.45064207677785406,0.3457589570738747,0.37151443617421076,0.4290915465672738,0.8029757588998608
pSA_0.037399373025,0.19870096401560397,0.2720945019608027,0.45189806498413904,0.3465013424406041,0.3719008935405256,0.42901896985483595,0.8041409034249507
pSA_0.038720387818,0.19155895619003527,0.2710755930112959,0.4518656917048614,0.3464830000411331,0.37041658219534657,0.4279732636313062,0.8028714912150825
pSA_0.040088063289,0.18474231314725054,0.2718018943682344,0.4505778286155271,0.345332408342403,0.37156423560959295,0.4263151588727689,0.8012986008725478
pSA_0.041504047579,0.1772811337125771,0.2736481210697901,0.45010349351188766,0.344154977128889,0.3743374168190185,0.42465904023919393,0.8009367048910925
pSA_0.042970047043,0.1691840739334876,0.2765332554510907,0.4499147499816698,0.3428893471623333,0.37862098105263775,0.42397202094685227,0.8019367234935059
pSA_0.044487828311,0.1579490213412171,0.27869399589179494,0.4487762690492688,0.3399441642618738,0.3819302466181675,0.4246058598958683,0.8019495146311951
pSA_0.046059220411,0.14927200055001374,0.27866537427697663,0.4479251983880955,0.33737342261055026,0.38201638932092186,0.4259033195851701,0.8011167012230075
pSA_0.047686116977,0.14176856194791454,0.2811902027635984,0.44736423799569086,0.3356615751338991,0.3857866431085389,0.42583428115996635,0.801853866655774
pSA_0.049370478528,0.13299488421515399,0.2875804699272341,0.446691779494333,0.33369058271309293,0.39519841940078354,0.4247303148740549,0.8046493534012866
pSA_0.051114334834,0.12507475110630834,0.28869523618292137,0.44679435306836457,0.3317111400492121,0.3969157890498163,0.422957681543863,0.8037989912537367
pSA_0.052919787360,0.11491915224980728,0.2885795460623473,0.44910926215356806,0.3321063283143748,0.3967041370441112,0.42145282509241433,0.8043571338558935
pSA_0.054789011796,0.10619710435188087,0.28944024361349113,0.4488078153437782,0.335242113647242,0.39782306386405486,0.42076878039118,0.8056831179628813
pSA_0.056724260685,0.09560195655437856,0.2927158973863208,0.4488650954682809,0.33491285645888197,0.4025920974274769,0.4228272330392383,0.8090177756155115
pSA_0.058727866132,0.08624912680418431,0.29837034082249164,0.44663751972182847,0.3351852666734181,0.4108214389649206,0.4242663086776129,0.8127794242045825
pSA_0.060802242616,0.07947907057036914,0.30318000396671657,0.443767133236248,0.3338350086940274,0.4178956520249954,0.42528050331895145,0.8147854711855606
pSA_0.062949889902,0.07259923682718938,0.31003385057826205,0.44205119588875896,0.33300731526810173,0.42788426128739965,0.42678267874757037,0.8194702726427399
pSA_0.065173396049,0.06452060410703737,0.31068020816885383,0.4406364475457822,0.33387409774920235,0.4288055024541189,0.4261934730846211,0.8192358802496823
pSA_0.067475440531,0.0627994873811095,0.3092701438106596,0.43894703926126616,0.3388445600561401,0.4265761233828256,0.42584576553202974,0.8190249960884898
pSA_0.069858797468,0.060373023622748684,0.31397971484891696,0.4408022315383794,0.3514361991142472,0.4328402324180667,0.42651057495887557,0.8289004444012323
pSA_0.072326338965,0.052032257677922134,0.31763833015462684,0.44337606841562716,0.3648575543770634,0.43753706401405945,0.4245356588708505,0.8374798989042429
pSA_0.074881038576,0.042169186034644715,0.31704281114121985,0.44789492420887855,0.36950607857527273,0.436414083726731,0.4227985928809651,0.8404525613342606
pSA_0.077525974886,0.04367103914833917,0.3112644355435434,0.4495295768356138,0.3715663443633007,0.42790037906346773,0.42234259191915696,0.8376218646054817
pSA_0.080264335223,0.04707230777812253,0.3087789684172681,0.44759386096026166,0.37630661621454564,0.42406878092770206,0.426468619771484,0.8388425051125254
pSA_0.083099419494,0.05021006491868224,0.30605442272809674,0.4461656824592198,0.3827904475443494,0.41979358834039077,0.4295795962661995,0.8404508488159418
pSA_0.086034644167,0.05602934568605193,0.2988989478086673,0.4473047713687256,0.3837708562761997,0.40928867401112523,0.42959292646916586,0.8363186771574115
pSA_0.089073546386,0.062355248640657175,0.297683657485979,0.44969023430919214,0.3831297363766995,0.407525275221665,0.4269376504554252,0.8350822169403609
pSA_0.092219788233,0.06664383737253379,0.29695355412779245,0.449748404939431,0.37997650104822334,0.4066069421670252,0.42871536228827006,0.8341353825218026
pSA_0.095477161142,0.07262972128665203,0.2943778178416601,0.45183683090172144,0.37458838181583043,0.40306902914294923,0.4317325518789045,0.8326647681731368
pSA_0.098849590466,0.07208367376213895,0.29782476452434353,0.45699725903543803,0.3716060907245302,0.4081708366331065,0.43261895298507275,0.8370783546294467
pSA_0.102341140211,0.073909990677381,0.29827726139352534,0.45609791164096547,0.36911292471240553,0.40895428485281654,0.43467573291667194,0.8369326472776172
pSA_0.105956017928,0.0753457916368175,0.2964592560555842,0.4528342048498072,0.36329242535129236,0.40662013135511443,0.4361348261170769,0.8322221585460249
pSA_0.109698579789,0.08092863945897912,0.29426853170594247,0.45294427018474115,0.357138412319515,0.40370832985490684,0.4378887170056532,0.8291159759179575
pSA_0.113573335834,0.08294488979185238,0.2891550358569553,0.4580505134230669,0.3568080649449974,0.39618145182748005,0.4403019705480989,0.8294262089526696
pSA_0.117584955405,0.0826047913383004,0.2831595944442311,0.4633436424808782,0.35815219233486834,0.3872621249015572,0.44395757288844306,0.8306808074164149
pSA_0.121738272774,0.08087332409268283,0.2799182366036824,0.46816822278071035,0.36007008451603134,0.3823463715525515,0.44498149284172456,0.8324837700496522
pSA_0.126038292968,0.08084415409563872,0.2768774399449568,0.4701372179641639,0.3628815604587286,0.37770776835432296,0.44716728529760397,0.833866757912604
pSA_0.130490197801,0.08099365904302488,0.2753049604876889,0.4719017497681796,0.367914854568494,0.37512221759349584,0.44544435621445716,0.8349790142644304
pSA_0.135099352120,0.07809670723222933,0.2753068152197895,0.47530758369726456,0.3746983510560295,0.3747135549780961,0.4454305125086565,0.8397230157392893
pSA_0.139871310265,0.07258885259227903,0.2711185070692347,0.4760503632107534,0.3792065277629485,0.36827534933526995,0.44982914874562263,0.8416617699529596
pSA_0.144811822767,0.07306461765847456,0.26942735604780516,0.4729618569231758,0.3818679050624135,0.3656638642253995,0.45420064826570966,0.8423326572715897
pSA_0.149926843279,0.0848535199674947,0.26607274449395835,0.4700391533745836,0.38203018830644975,0.36075330887344165,0.45485818627339125,0.8390010667249551
pSA_0.155222535743,0.09756309587678558,0.26525063462514226,0.4670922794574921,0.39282532657861113,0.3589668448983318,0.4551978425868396,0.8417536494499829
pSA_0.160705281826,0.1015448496596281,0.26547887804028175,0.46723182309161054,0.40274902087528935,0.3587058998607573,0.4571692516347378,0.847458552119628
pSA_0.166381688608,0.10604859495391047,0.26353284584963393,0.4723489503540743,0.40618984559739624,0.3554976183732355,0.4633266728833472,0.8539050790581042
pSA_0.172258596540,0.11234054627905302,0.25925942656856976,0.4772973640584151,0.4051074446565396,0.3490888014394789,0.47223195145765545,0.8583652035824961
pSA_0.178343087693,0.11525094089579292,0.25822099027040746,0.47859042110535854,0.4104448136457294,0.3471637829837412,0.4767702745842422,0.86333442139486
pSA_0.184642494290,0.12038694959559583,0.2551462326385416,0.4760672486369892,0.42115099320734,0.34194307558869924,0.4762493590163884,0.8647234836703012
pSA_0.191164407539,0.12777770758494134,0.2508010469411672,0.4772707669383043,0.43219637902407854,0.3347157769223169,0.47135559135962707,0.8653275910556049
pSA_0.197916686785,0.14972087757692257,0.24772108379797828,0.4800166498573933,0.4404569875724997,0.3294885713085396,0.4681464575189422,0.8672613022337811
pSA_0.204907468982,0.17417733775650965,0.2427182754385023,0.4791246475714578,0.4426687562245637,0.32182716511918125,0.46604832836695514,0.8638806770788185
pSA_0.212145178491,0.18962825107111955,0.22994139867736632,0.47859895467129404,0.44179270725009373,0.30258931414570633,0.462576194108152,0.8542685666595571
pSA_0.219638537242,0.20285813664524435,0.21465466721093832,0.48068527909999315,0.4407230884672838,0.27930958410448464,0.4588820298858786,0.8449152261477978
pSA_0.227396575236,0.21066546546998166,0.20120075795965306,0.48239408172464154,0.44354143773132004,0.25820675281211364,0.4606315055945665,0.841596796697694
pSA_0.235428641432,0.22055115760169336,0.19331919473561768,0.4812133678115269,0.4472343849397672,0.24553119687985023,0.4631025258794474,0.8404370402059512
pSA_0.243744415012,0.23068789640927778,0.19536684798485487,0.48090676843408653,0.45086485279371263,0.24838537986889708,0.46591698067880405,0.8445853214612966
pSA_0.252353917043,0.23480103321369256,0.20097614277191628,0.48123650894052417,0.44736902824760905,0.2574611673186266,0.4694613583379442,0.8475894316365977
pSA_0.261267522556,0.23063780720539745,0.21386464795767102,0.4858071419726829,0.44160429290673403,0.27780796324984136,0.47265974781367015,0.8553405358999598
pSA_0.270495973046,0.22903682509366008,0.2141540898285183,0.4914950986867268,0.4370889165356613,0.2784962273529534,0.4742511939732457,0.8573730207011827
pSA_0.280050389418,0.23215293279558022,0.21553172975508916,0.49517473523426925,0.43468198924456375,0.2807638501164035,0.4699093286265841,0.8566151801424097
pSA_0.289942285388,0.23011258075376437,0.2195501120591361,0.5036106920449701,0.43807216620957606,0.2865070810235959,0.46424643316347824,0.8620568485495822
pSA_0.300183581358,0.2257327910444037,0.22799083050835336,0.5069097274824899,0.4453962620264342,0.2987783132286442,0.4607263772453328,0.869984239620957
pSA_0.310786618778,0.22845080676622695,0.23296935650863781,0.5108988576238808,0.4547374478162953,0.30557538889857133,0.4569959238103638,0.8775109012699872
pSA_0.321764175025,0.22722723464233413,0.23543978842672697,0.5143927731198334,0.46338741224004515,0.3086071050990104,0.4537973200124034,0.883458075874837
pSA_0.333129478793,0.2276519291037036,0.2295001163456758,0.5143301635495633,0.4682650626170297,0.2991474156553126,0.4510974154727263,0.8813544919861004
pSA_0.344896226041,0.22768986567279337,0.23004376141581376,0.513003916655054,0.46803065184387477,0.3000376951465687,0.4497431141301445,0.8800665865632972
pSA_0.357078596490,0.21844977034579957,0.23423904751686694,0.5121865822644559,0.47081467256970666,0.30624676224698516,0.45005871987849677,0.8833693914122772
pSA_0.369691270720,0.2145456901541841,0.22928381246828364,0.5082156696821538,0.46810949606090785,0.29896455138721345,0.45003072620411755,0.877107248132656
pSA_0.382749447852,0.2090681063274568,0.22327660714955497,0.5056657952194037,0.4593306129057105,0.2905672494555767,0.4448710466644348,0.8654606189906601
pSA_0.396268863870,0.20874012326224758,0.21707948591997053,0.5027133177609333,0.4554945189734316,0.2814643490851164,0.43862312120440955,0.8554579819781035
pSA_0.410265810583,0.20835276185086954,0.2167215540098608,0.4963207826696587,0.44803877170855977,0.2816983154845476,0.4368497714832357,0.8469148269192861
pSA_0.424757155254,0.2028057740731705,0.2180305921753683,0.48857309281192646,0.44326232097473445,0.2842702511697504,0.4371395018088483,0.840883863537362
pSA_0.439760360930,0.19662999075329052,0.21806687493624904,0.4804725059236376,0.44002685109061374,0.28477384968635966,0.4353894496799353,0.8337491091371837
pSA_0.455293507487,0.19403088712316907,0.2174212061890944,0.48324092523684264,0.4429459820264803,0.2834990367202293,0.4336438603673064,0.8355487037107535
pSA_0.471375313412,0.18900801821992713,0.21715154825948987,0.48642684073352704,0.4528040934024205,0.28220926803718166,0.43113580010048724,0.8409297042454602
